"TIMESTAMP","NewCaseRecords_29April2020","NewCaseRecords_13May2020"
"2020-03-01","56","69"
"2020-03-02","35","41"
"2020-03-03","33","41"
"2020-03-04","45","50"
"2020-03-05","38","44"
"2020-03-06","52","58"
"2020-03-07","53","60"
"2020-03-08","69","75"
"2020-03-09","108","119"
"2020-03-10","127","145"
"2020-03-11","149","155"
"2020-03-12","163","177"
"2020-03-13","239","257"
"2020-03-14","200","212"
"2020-03-15","231","265"
"2020-03-16","378","390"
"2020-03-17","380","389"
"2020-03-18","385","419"
"2020-03-19","377","400"
"2020-03-20","454","472"
"2020-03-21","285","302"
"2020-03-22","316","331"
"2020-03-23","545","563"
"2020-03-24","492","503"
"2020-03-25","556","559"
"2020-03-26","493","497"
"2020-03-27","509","507"
"2020-03-28","422","421"
"2020-03-29","380","361"
"2020-03-30","689","681"
"2020-03-31","512","521"
"2020-04-01","669","719"
"2020-04-02","567","592"
"2020-04-03","603","636"
"2020-04-04","365","418"
"2020-04-05","325","391"
"2020-04-06","739","799"
"2020-04-07","611","668"
"2020-04-08","674","725"
"2020-04-09","734","778"
"2020-04-10","776","863"
"2020-04-11","475","498"
"2020-04-12","342","381"
"2020-04-13","790","826"
"2020-04-14","804","820"
"2020-04-15","678","719"
"2020-04-16","711","727"
"2020-04-17","694","784"
"2020-04-18","403","457"
"2020-04-19","504","510"
"2020-04-20","682","876"
"2020-04-21","596","798"
"2020-04-22","562","795"
"2020-04-23","359","636"
"2020-04-24","365","737"
"2020-04-25","174","407"
"2020-04-26","88","317"
"2020-04-27","62","887"
"2020-04-28","24","864"
"2020-04-29","1","645"
